timestamp_ms,forearm_L.angular_velocity,forearm_L.linear_acceleration,hand_L.angular_velocity,hand_L.linear_acceleration,head.angular_velocity,head.linear_acceleration,upper_torso.angular_velocity,upper_torso.linear_acceleration
239,3.3663528,0.21402799,0.79813814,0.20691526,3.369671,0.24198629,3.563115,0.12684324
252,3.3663528,0.21402799,0.79813814,0.20691526,3.105604,0.2422856,3.563115,0.12684324
252,3.737126,0.21862492,0.79813814,0.20691526,2.5815778,0.23734422,3.563115,0.12684324
254,3.737126,0.21862492,0.79813814,0.20691526,2.1535983,0.20855424,3.563115,0.12684324
255,4.2290797,0.25921583,0.79813814,0.20691526,2.1535983,0.20855424,3.7718542,0.17041716
255,4.2290797,0.25921583,0.79813814,0.20691526,2.1535983,0.20855424,3.7876236,0.2013445
265,4.2290797,0.25921583,0.37624598,0.19278732,2.1535983,0.20855424,3.4773972,0.23131926
267,4.2290797,0.25921583,0.78163135,0.20104553,2.1535983,0.20855424,3.4773972,0.23131926
280,4.098455,0.26197273,0.78163135,0.20104553,2.1535983,0.20855424,3.4773972,0.23131926
281,3.9152992,0.20121185,0.78163135,0.20104553,1.9252697,0.19916332,3.4773972,0.23131926
283,4.2295203,0.19358595,0.78163135,0.20104553,1.9252697,0.19916332,3.4773972,0.23131926
284,4.2295203,0.19358595,0.78163135,0.20104553,1.6837296,0.19487703,3.4773972,0.23131926
301,4.2295203,0.19358595,0.78163135,0.20104553,1.6837296,0.19487703,3.1960516,0.24287185
302,4.2295203,0.19358595,0.78163135,0.20104553,1.6837296,0.19487703,2.6393733,0.26413634
302,4.2295203,0.19358595,1.0815457,0.17961302,1.6837296,0.19487703,2.6393733,0.26413634
302,4.2295203,0.19358595,1.0815457,0.17961302,1.6837296,0.19487703,1.9512166,0.26274794
305,4.2295203,0.19358595,1.2582719,0.23080444,1.6837296,0.19487703,1.9512166,0.26274794
315,4.2295203,0.19358595,1.2582719,0.23080444,1.4365968,0.1892567,1.9512166,0.26274794
315,3.7831948,0.2782165,1.2582719,0.23080444,1.4365968,0.1892567,1.9512166,0.26274794
315,2.900294,0.28086737,1.2582719,0.23080444,1.2267915,0.18142316,1.9512166,0.26274794
318,2.900294,0.28086737,1.2582719,0.23080444,1.0084662,0.1806252,1.9512166,0.26274794
319,1.8693106,0.27607286,1.2582719,0.23080444,1.0084662,0.1806252,1.4404813,0.23126231
319,1.8693106,0.27607286,1.2582719,0.23080444,1.0084662,0.1806252,1.1204566,0.26513344
319,1.8693106,0.27607286,1.2582719,0.23080444,1.0084662,0.1806252,0.8346431,0.2820004
335,0.80279213,0.2608637,1.2582719,0.23080444,1.0084662,0.1806252,0.8346431,0.2820004
336,1.0103116,0.262478,1.3647876,0.2435106,0.7574263,0.18835838,0.8346431,0.2820004
337,1.0103116,0.262478,1.2523366,0.24996598,0.7574263,0.18835838,0.8346431,0.2820004
337,1.0103116,0.262478,1.2523366,0.24996598,0.48828122,0.18130083,0.8346431,0.2820004
351,1.0103116,0.262478,1.2523366,0.24996598,0.31121942,0.17468262,0.8346431,0.2820004
352,1.0103116,0.262478,1.2523366,0.24996598,0.31121942,0.17468262,0.6601961,0.23821463
363,1.0103116,0.262478,1.2523366,0.24996598,0.31121942,0.17468262,0.6072921,0.21631795
364,1.8970056,0.20201941,1.151609,0.20915909,0.31121942,0.17468262,0.6072921,0.21631795
364,2.7587616,0.15888123,1.151609,0.20915909,0.31121942,0.17468262,0.6072921,0.21631795
367,2.7587616,0.15888123,1.3998224,0.17958689,0.31121942,0.17468262,0.6072921,0.21631795
367,3.6707456,0.1223197,1.3998224,0.17958689,0.35589305,0.17952812,0.6072921,0.21631795
367,3.6707456,0.1223197,1.3998224,0.17958689,0.44851497,0.20552367,0.6072921,0.21631795
369,3.6707456,0.1223197,1.3998224,0.17958689,0.69590783,0.20333983,0.6072921,0.21631795
385,3.6707456,0.1223197,1.3998224,0.17958689,0.69590783,0.20333983,1.1070774,0.243884
385,3.6707456,0.1223197,1.3998224,0.17958689,0.69590783,0.20333983,2.6562567,0.21750677
397,3.6707456,0.1223197,1.6936568,0.16694395,1.001051,0.22945514,2.6562567,0.21750677
398,3.3004162,0.10947196,2.235087,0.21819815,1.001051,0.22945514,2.6562567,0.21750677
399,2.4927464,0.112667516,2.235087,0.21819815,1.220703,0.24526207,2.6562567,0.21750677
400,1.6759679,0.101277255,2.3273528,0.16423629,1.5404575,0.25933388,2.6562567,0.21750677
419,1.6759679,0.101277255,2.3273528,0.16423629,1.5404575,0.25933388,3.310559,0.18284126
420,1.6759679,0.101277255,2.3273528,0.16423629,1.5404575,0.25933388,3.3441472,0.19031398
421,1.6759679,0.101277255,2.1054916,0.20267086,1.5404575,0.25933388,3.7861478,0.13359182
421,1.6759679,0.101277255,2.3528237,0.19956082,1.5404575,0.25933388,3.7861478,0.13359182
422,1.6759679,0.101277255,2.0698025,0.15103312,1.5404575,0.25933388,3.7861478,0.13359182
431,1.3076345,0.117289826,2.0698025,0.15103312,1.5763147,0.27664164,3.7861478,0.13359182
431,1.7230948,0.12038305,2.0698025,0.15103312,1.5763147,0.27664164,3.7861478,0.13359182
432,2.7007625,0.11999818,2.0698025,0.15103312,1.5307539,0.28088427,3.7861478,0.13359182
433,2.7007625,0.11999818,2.0698025,0.15103312,1.5025065,0.26961878,3.7861478,0.13359182
448,2.7007625,0.11999818,2.0698025,0.15103312,1.5025065,0.26961878,4.12202,0.13902143
449,2.7007625,0.11999818,2.0698025,0.15103312,1.5025065,0.26961878,4.2435894,0.12442094
450,2.7007625,0.11999818,2.0698025,0.15103312,1.5025065,0.26961878,4.2889953,0.14338209
464,2.7007625,0.11999818,2.0698025,0.15103312,1.4962952,0.26597077,4.2889953,0.14338209
465,3.0803106,0.14201415,1.6958548,0.26734334,1.4962952,0.26597077,4.2889953,0.14338209
465,3.0803106,0.14201415,1.6958548,0.26734334,1.5537013,0.2595574,4.0421677,0.12673809
467,3.0803106,0.14201415,1.626332,0.18914276,1.5537013,0.2595574,4.0421677,0.12673809
468,3.1502655,0.13873698,1.626332,0.18914276,1.5537013,0.2595574,4.0421677,0.12673809
468,3.1502655,0.13873698,1.626332,0.18914276,1.5951091,0.2377358,4.107988,0.1289458
470,3.1502655,0.13873698,1.638882,0.1973377,1.5951091,0.2377358,4.107988,0.1289458
471,3.371329,0.10130028,1.638882,0.1973377,1.5951091,0.2377358,4.107988,0.1289458
471,3.371329,0.10130028,1.5123916,0.18883432,1.5951091,0.2377358,4.309358,0.107104234
473,3.371329,0.10130028,1.3891366,0.19322717,1.5951091,0.2377358,4.309358,0.107104234
485,3.371329,0.10130028,1.0176593,0.14929894,1.5951091,0.2377358,4.309358,0.107104234
486,3.40377,0.05526261,1.1483696,0.16492215,1.5951091,0.2377358,4.309358,0.107104234
487,3.3234746,0.02919182,1.1483696,0.16492215,1.5951091,0.2377358,4.309358,0.107104234
488,3.3234746,0.02919182,0.81659466,0.1751436,1.5951091,0.2377358,4.309358,0.107104234
